,palavra,rec,pont
5317,axial,2,0.052603916977588004
5316,esqueleto,2,0.052603916977588004
5320,periférico,5,0.052357957200418546
5556,cristalino,6,0.052196882120806275
7848,une,2,0.05193593073025355
7253,desempacota,2,0.05193593073025355
3516,uc1,4,0.05157600986062788
7554,tfd,8,0.05148108763680779
3073,iop,8,0.051371139299768144
2805,escalares,12,0.05134502008289797
5589,planos,10,0.051342728076777505
3630,síncronas,2,0.051284696489121845
7076,editado,2,0.05096516566987498
7080,gerador,2,0.05096516566987498
2921,amdahl,6,0.050951095991000415
3495,single,9,0.05085469097263356
8144,doutorando,2,0.05080688875785673
7567,x=0,4,0.05006447377982834
7570,vy,4,0.05006447377982834
2562,escalar,8,0.04975772825611607
6719,ventral,9,0.04952115558557648
7141,application.processmessages,2,0.04942543256806607
7142,f:=cvmp1.receive,2,0.04942543256806607
7631,mp,7,0.049358629619581276
3759,cisc,2,0.04912858312321282
5349,medular,2,0.04912858312321282
8053,q,5,0.048856736958559036
1076,fork/join,7,0.048626559096372
1075,parbegin/parend,7,0.048626559096372
2348,eniac,9,0.048572307649529294
6535,stm,9,0.048417372637843036
7186,ta,4,0.048129060933067146
4656,guis,9,0.04798349536243295
4782,diâmetro,9,0.04798087047509562
7762,rs,7,0.047947690003029765
7430,15x15,9,0.04772007152624891
1001,eta-10,10,0.0476773827859645
9494,edição,3,0.04764995586416467
4258,f,106,0.047585266858275424
3081,co,19,0.04751400068825502
1660,arestas,16,0.0474047752667574
3341,aída,4,0.04718195969012509
3026,fracasso,2,0.047146450086541405
7872,bayeseana,2,0.047146450086541405
6704,carro,5,0.047082611327518814
6711,mentalização,5,0.047082611327518814
2517,language,5,0.04706391318959733
53,valiosas,2,0.04687626985681911
25,fontoura,2,0.04687626985681911
72,convivência,2,0.04687626985681911
45,candida,2,0.04687626985681911
41,adriana,2,0.04687626985681911
122,competência,2,0.04687626985681911
40,esposa,2,0.04687626985681911
42,pais,2,0.04687626985681911
43,orlando,2,0.04687626985681911
44,maria,2,0.04687626985681911
21,orientador,2,0.04687626985681911
5890,4a,5,0.046818577527349664
4091,java,7,0.04675955667641649
8173,fotografia,2,0.0467423376572282
7632,512,10,0.04649001985596625
2759,p5,2,0.046476756193266675
2757,mips,2,0.046476756193266675
9454,functional,4,0.04643725922894862
1723,folha,41,0.04635884333905505
2490,1960,2,0.04634509399441889
2509,alto-nível,2,0.04634509399441889
2474,eletrônicos,2,0.04634509399441889
2499,tradic,2,0.04634509399441889
5805,sensitivo,2,0.04634509399441889
7114,mp_connect,2,0.04634509399441889
7104,idênticos,2,0.04634509399441889
7110,mp_listen,2,0.04634509399441889
7111,mp_slave,2,0.04634509399441889
7116,estabilizar,2,0.04634509399441889
7115,mp_master,2,0.04634509399441889
5132,páginas,12,0.04634248755500352
1342,regras,30,0.04631151993627821
1144,ppse,6,0.04620366693053587
1145,ppsi,6,0.04620366693053587
8033,emparelhamento,5,0.04615983753203335
6538,term,2,0.046083994873323576
6697,lembrarmos,2,0.046083994873323576
7315,filtros,15,0.04596099436605619
6073,seletivos,2,0.0459545454495221
7809,geman,6,0.045835995128810654
4288,task,10,0.045712168307032224
3890,thread,2,0.04569781614533483
7578,"f(x,v",2,0.04569781614533483
7442,1.0,15,0.04569652183327862
6364,contextual,4,0.0456110070822445
9552,freeman,3,0.04552825096483266
7712,pu,3,0.04538708716460317
4942,workings,2,0.04531805590035975
1644,7.42,5,0.0452725433329665
5928,dominância,8,0.04492139559390813
8430,material,8,0.04488693172778849
8038,poliédrico,2,0.044821419671314706
7916,kaye,6,0.04477704583835698
3970,completas,2,0.04469895677603789
4826,aumentarmos,2,0.04457716125348738
7438,4.0,10,0.044478707378874646
8061,vértices,2,0.04445602766312464
8072,nv,2,0.04445602766312464
3135,refrigeração,2,0.04433555062338718
3139,líquido,2,0.04433555062338718
5615,pigmentar,2,0.04433555062338718
3138,imersos,2,0.04433555062338718
9147,real-time,3,0.04429553658852852
9163,r.m,3,0.04429553658852852
9148,personal,3,0.04429553658852852
5964,braitenberg,9,0.044242981508873375
1141,sinapses,13,0.04420568344252619
3365,8086,2,0.04409654495964924
3360,cube,2,0.04409654495964924
3367,8087,2,0.04409654495964924
1134,sinapse,9,0.04405929203276665
3639,mimd/simd,2,0.04397800586029535
7429,9x9,8,0.04381861376740111
7891,700x700,2,0.04374282935836863
6628,descontinuidades,5,0.043716330666777284
8732,incompletos,2,0.04362618181341298
7460,percentual,2,0.04362618181341298
7562,exp,6,0.04358834406639555
1021,illiac,11,0.043566092653911495
8297,população,5,0.04350080250000555
7441,ee,12,0.043474790541197524
6640,disparidades,5,0.04347089865116646
1178,cones,26,0.04346375735988673
5382,dendritos,8,0.04346225438303903
5692,milhão,2,0.0433947431831031
5677,nm,2,0.0433947431831031
5682,rodopsinas,2,0.0433947431831031
7535,u,26,0.04337767646557717
1103,3.14,5,0.043311826986179955
5283,psicologia,2,0.04327994227521129
3937,chorus,2,0.04305215310534176
7819,rótulo,2,0.04305215310534176
7807,temperatura,2,0.04305215310534176
5774,topográfico,5,0.04294204001205104
5707,dendrítico,2,0.042939155328162386
5723,off,2,0.042939155328162386
7678,senoidal,2,0.042826749162381855
4848,micro-informática,2,0.042826749162381855
4837,tt,2,0.042826749162381855
7669,cos,2,0.042826749162381855
7670,sen,2,0.042826749162381855
4075,logic,3,0.04278585415451738
4167,familiarizado,2,0.04271492997396833
8981,traria,2,0.04271492997396833
5909,médios,2,0.04249303423384382
7660,globais,2,0.04249303423384382
5906,poligonais,2,0.04249303423384382
1876,presa,8,0.04247977499098767
5381,axônio,5,0.04247701051287105
7042,device,2,0.04227343198974127
1674,auto-organizáveis,5,0.042246317853125645
6494,motivos,2,0.04216447984543781
6489,redirecionados,2,0.04216447984543781
4707,x-window,2,0.04194825174366633
4714,dps,2,0.04194825174366633
728,seemore,15,0.04194075106130925
1447,tsobelpar,5,0.041936692441074126
7706,ciona,3,0.041917642710629636
7553,discreta,6,0.04188180128689318
7100,port,4,0.04169318772982647
2951,página,11,0.04168815106059209
3094,x-mp,10,0.041654444163251154
5467,despolarização,5,0.04163202173413794
6056,v3a,2,0.041628036081500945
1986,hemisférios,14,0.04162236313584625
7601,megabyte,2,0.041522381167588496
7611,tivéssemos,2,0.041522381167588496
3779,visíveis,7,0.04150142409523482
5984,cromaticidade,6,0.04135959268251965
4883,abridores,2,0.0413126721717926
3751,microprogramação,4,0.04128631353117191
1654,mandelbrot,9,0.041215390853419305
8996,encapsuladas,2,0.04110507080409515
9000,reestruturação,2,0.04110507080409515
7001,dcom,8,0.04107998923192911
1410,6.15,4,0.04101505192648401
4272,rotinas,11,0.04095157454087428
1165,músculos,8,0.04094257911661519
4292,a2,2,0.040797551571146805
4291,a11,2,0.040797551571146805
6756,listras,2,0.040797551571146805
1757,nervuras,11,0.040747060174622325
8370,países,4,0.04071750154585299
