,palavra,rec,pont
9880,manga,3,0.034759278332954266
1261,pudéssemos,3,0.034730658837625855
3546,companheira,5,0.03472812698192095
10479,acabaria,5,0.03470884671449266
4763,velocidade,3,0.03468773434121178
41,douglas,7,0.03466593668112443
10575,sinhá,3,0.034621909254775644
9393,prenderam,3,0.03461684519243392
8721,repetisse,3,0.034612066344033965
6724,pirata,3,0.03460881335470129
6727,índico,3,0.03460881335470129
10097,escavar,3,0.03460682206927945
4256,matá-lo,3,0.03459933665432687
5445,túmulo,3,0.03459933665432687
7905,pranto,3,0.03455009934051384
4632,criança,9,0.03451421181776002
4461,hoocker,5,0.034459832840535894
9522,serraria,7,0.034440287798857404
10577,buracos,5,0.03442800086456637
2519,pista,5,0.03442794430965359
9086,ab,3,0.034419596559352034
6930,função,3,0.03440536589035598
7498,tragédia,3,0.03437231779730825
548,pagamento,3,0.03436717843528486
6182,anunciava,3,0.034353927044072655
3201,tartarugas,3,0.03434628828974973
3062,brasas,3,0.03434628828974973
6736,agradecia,3,0.03434460516959494
3227,passarinho,3,0.03430998895489443
5394,cesta,3,0.03427795212906663
1959,chumbo,9,0.034270502544265655
6954,europa,3,0.03426247032527948
7018,lasca,3,0.03422240529366059
1339,objetei,3,0.034214299452819966
6404,termos,3,0.034196801953289356
3443,chamou,3,0.034196801953289356
7015,vagabundos,3,0.03418260915487137
6683,hino,3,0.03415931797099908
7948,cotovelada,3,0.03412278444688665
4450,hornback,3,0.034106851272342406
9568,pare,3,0.034097280347424076
743,fresta,3,0.034086485112031356
7158,ébrio,3,0.034085777996895744
4790,ostentava,3,0.034026060105594544
5446,lenço,3,0.033976882266011955
3070,helo,3,0.033976177424558454
3487,deitar-se,3,0.0339410400860809
674,moeda,14,0.03392183124898717
6972,principais,3,0.03391134301538678
2884,disparo,3,0.03390733076808982
6426,nascido,3,0.03390381069947952
6395,atribulações,3,0.03390381069947952
1166,boiando,3,0.03390381069947952
6307,queda,3,0.03383121202976893
10165,material,3,0.033796978176538636
2145,demo,3,0.033769968481937966
3539,pronta,3,0.03376522209096882
4180,charutos,3,0.033761816683709506
6997,toldo,3,0.033725081933436526
1564,bola,9,0.0336891284564952
6903,sublime,3,0.033687629466783414
